	Original name	Gene symbol	Ensembl gene id			
	WAPL	WAPL	ENSG00000062650			
	PDS5	PDS5A	ENSG00000121892			
	PDS5	PDS5B	ENSG00000083642			
	KLP10A	KIF2A	ENSG00000068796			
	KLP10A	KIF2B	ENSG00000141200			
	KLP10A	KIF2C	ENSG00000142945			
	KLP67A	KIF18A	ENSG00000121621			
	KLP67A	KIF18B	ENSG00000186185			
	GCP2	TUBGCP2	ENSG00000130640			
	MAD2	MAD2L2	ENSG00000116670			
	BUBR1	BUB1B	ENSG00000156970			
	MAD1	MXD1	ENSG00000059728			
	TRIP3	TRIB3	ENSG00000101255			
	AFDN	AFDN	ENSG00000130396			
	CNOT9	CNOT9	ENSG00000144580			
	H3-3A	H3-3A	ENSG00000163041			
	H3C2	H3C2	ENSG00000286522			
	H4C9	H4C9	ENSG00000276180			
	KMT5A	KMT5A	ENSG00000183955			
	KNL1	KNL1	ENSG00000137812			
	NSD2	NSD2	ENSG00000109685			
	NSD3	NSD3	ENSG00000147548			
	SHTN1	SHTN1	ENSG00000187164			
	TENT5C	TENT5C	ENSG00000183508			